date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
11:47:42	13580/13580	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2006:17:28%20GMT	http://gorakhpurpublicschool.com/games_sports.aspx	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/games_sports.html	(from http://gorakhpurpublicschool.com/)
11:47:43	220448/220448	---M--	200	added ('OK')	image/jpeg	etag:%2269fec1f23bded41:0%22	http://gorakhpurpublicschool.com/images/sl191.jpg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/sl191.jpg	(from http://gorakhpurpublicschool.com/)
11:47:43	30761/30761	---M--	200	added ('OK')	image/jpeg	etag:%229af2bed31262d51:0%22	http://gorakhpurpublicschool.com/images/thumbs/0000293_220.jpeg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/thumbs/0000293_220.jpg	(from http://gorakhpurpublicschool.com/)
11:47:43	136802/136802	---M--	200	added ('OK')	image/jpeg	etag:%2211757d8146e8d31:0%22	http://gorakhpurpublicschool.com/pics/3.JPG	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/pics/3.jpg	(from http://gorakhpurpublicschool.com/)
11:47:43	11926/11926	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2006:17:29%20GMT	http://gorakhpurpublicschool.com/schooluniform.aspx	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/schooluniform.html	(from http://gorakhpurpublicschool.com/)
11:47:44	16517/16517	---MC-	200	added ('OK')	text/html	date:Fri,%2024%20Jan%202020%2006:17:29%20GMT	http://gorakhpurpublicschool.com/Toppers.aspx	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/Toppers.html	(from http://gorakhpurpublicschool.com/)
11:47:46	19502/19502	---M--	200	added ('OK')	image/jpeg	etag:%22f02e9205994d51:0%22	http://gorakhpurpublicschool.com/images/thumbs/0000308_150.jpeg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/thumbs/0000308_150.jpg	(from http://gorakhpurpublicschool.com/)
11:47:47	22993/22993	---M--	200	added ('OK')	image/jpeg	etag:%226bb89b05994d51:0%22	http://gorakhpurpublicschool.com/images/thumbs/0000307_150.jpeg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/thumbs/0000307_150.jpg	(from http://gorakhpurpublicschool.com/)
11:47:48	19580/19580	---M--	200	added ('OK')	image/jpeg	etag:%2298e2a205994d51:0%22	http://gorakhpurpublicschool.com/images/thumbs/0000306_150.jpeg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/thumbs/0000306_150.jpg	(from http://gorakhpurpublicschool.com/)
11:47:48	20468/20468	---M--	200	added ('OK')	image/jpeg	etag:%22c868ac05994d51:0%22	http://gorakhpurpublicschool.com/images/thumbs/0000305_150.jpeg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/thumbs/0000305_150.jpg	(from http://gorakhpurpublicschool.com/)
11:47:49	21786/21786	---M--	200	added ('OK')	image/jpeg	etag:%2230f2b505994d51:0%22	http://gorakhpurpublicschool.com/images/thumbs/0000304_150.jpeg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/thumbs/0000304_150.jpg	(from http://gorakhpurpublicschool.com/)
11:47:51	21239/21239	---M--	200	added ('OK')	image/jpeg	etag:%229f67cb05994d51:0%22	http://gorakhpurpublicschool.com/images/thumbs/0000303_150.jpeg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/thumbs/0000303_150.jpg	(from http://gorakhpurpublicschool.com/)
11:47:52	22043/22043	---M--	200	added ('OK')	image/jpeg	etag:%22333fe305994d51:0%22	http://gorakhpurpublicschool.com/images/thumbs/0000302_150.jpeg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/thumbs/0000302_150.jpg	(from http://gorakhpurpublicschool.com/)
11:47:52	19958/19958	---M--	200	added ('OK')	image/jpeg	etag:%22f753f605994d51:0%22	http://gorakhpurpublicschool.com/images/thumbs/0000301_150.jpeg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/thumbs/0000301_150.jpg	(from http://gorakhpurpublicschool.com/)
11:47:53	25486/25486	---M--	200	added ('OK')	image/jpeg	etag:%228772ccb45894d51:0%22	http://gorakhpurpublicschool.com/images/thumbs/0000300_150.jpeg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/thumbs/0000300_150.jpg	(from http://gorakhpurpublicschool.com/)
11:47:54	19685/19685	---M--	200	added ('OK')	image/jpeg	etag:%2213fcd5b45894d51:0%22	http://gorakhpurpublicschool.com/images/thumbs/0000299_150.jpeg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/thumbs/0000299_150.jpg	(from http://gorakhpurpublicschool.com/)
11:47:55	16372/16372	---M--	200	added ('OK')	image/jpeg	etag:%22df278d1362d51:0%22	http://gorakhpurpublicschool.com/images/thumbs/0000298_150.jpeg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/thumbs/0000298_150.jpg	(from http://gorakhpurpublicschool.com/)
11:47:55	17540/17540	---M--	200	added ('OK')	image/jpeg	etag:%22814f86d1362d51:0%22	http://gorakhpurpublicschool.com/images/thumbs/0000297_150.jpeg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/thumbs/0000297_150.jpg	(from http://gorakhpurpublicschool.com/)
11:47:56	165/165	---MC-	301	error ('Moved%20Permanently')	text/html	date:Fri,%2024%20Jan%202020%2006:17:54%20GMT	https://gkpmart.com/images/gkpmart.jpg	C:/My%20Web%20Sites/nha/gkpmart.com/images/gkpmart.45.delayed	(from http://gorakhpurpublicschool.com/)
11:47:58	30198/30198	---M--	200	added ('OK')	image/png	etag:%22fc12bf3dd9abd41:0%22	http://gorakhpurpublicschool.com/images/phone.png	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/phone.png	(from http://gorakhpurpublicschool.com/)
11:47:58	28974/28974	---M--	200	added ('OK')	image/png	etag:%22adc71a3ed9abd41:0%22	http://gorakhpurpublicschool.com/images/email.png	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/email.png	(from http://gorakhpurpublicschool.com/)
11:47:59	15900/15900	---M--	200	added ('OK')	image/jpeg	etag:%22f27b0e457a4d51:0%22	https://www.gkpmart.com/images/gkpmart.jpg	C:/My%20Web%20Sites/nha/www.gkpmart.com/images/gkpmart.jpg	(from http://gorakhpurpublicschool.com/)
11:47:59	31045/31045	---M--	200	added ('OK')	image/png	etag:%22f76e5441d9abd41:0%22	http://gorakhpurpublicschool.com/images/fb.png	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/images/fb.png	(from http://gorakhpurpublicschool.com/)
11:48:02	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223b435e4d8abd41:0%22	http://gorakhpurpublicschool.com/dist/fonts/glyphicons-halflings-regular.eot	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/dist/fonts/glyphicons-halflings-regular.eot	(from http://gorakhpurpublicschool.com/dist/css/bootstrap.min.css)
11:48:02	18028/18028	---M--	200	added ('OK')	font/x-woff2	etag:%22419494e5d8abd41:0%22	http://gorakhpurpublicschool.com/dist/fonts/glyphicons-halflings-regular.woff2	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/dist/fonts/glyphicons-halflings-regular.woff2	(from http://gorakhpurpublicschool.com/dist/css/bootstrap.min.css)
11:48:04	36816/36816	---MC-	200	added ('OK')	application/javascript	etag:%2286b7b7e6d8abd41:0%22	http://gorakhpurpublicschool.com/dist/js/bootstrap.min.js	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/dist/js/bootstrap.min.js	(from http://gorakhpurpublicschool.com/)
11:48:05	20127/20127	---M--	200	added ('OK')	application/vnd.ms-fontobject	etag:%223b435e4d8abd41:0%22	http://gorakhpurpublicschool.com/dist/fonts/glyphicons-halflings-regular.eot?	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/dist/fonts/glyphicons-halflings-regulard41d.eot	(from http://gorakhpurpublicschool.com/dist/css/bootstrap.min.css)
11:48:08	108738/108738	---M--	200	added ('OK')	image/svg+xml	etag:%226fe7bbe4d8abd41:0%22	http://gorakhpurpublicschool.com/dist/fonts/glyphicons-halflings-regular.svg	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/dist/fonts/glyphicons-halflings-regular.svg	(from http://gorakhpurpublicschool.com/dist/css/bootstrap.min.css)
11:48:08	23424/23424	---M--	200	added ('OK')	font/x-woff	etag:%22ca4447e5d8abd41:0%22	http://gorakhpurpublicschool.com/dist/fonts/glyphicons-halflings-regular.woff	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/dist/fonts/glyphicons-halflings-regular.woff	(from http://gorakhpurpublicschool.com/dist/css/bootstrap.min.css)
11:48:11	45404/45404	---M--	200	added ('OK')	application/octet-stream	etag:%2280fb18e5d8abd41:0%22	http://gorakhpurpublicschool.com/dist/fonts/glyphicons-halflings-regular.ttf	C:/My%20Web%20Sites/nha/gorakhpurpublicschool.com/dist/fonts/glyphicons-halflings-regular.ttf	(from http://gorakhpurpublicschool.com/dist/css/bootstrap.min.css)
